Element Id,Category,Type Name,Family Name,X,Y,Z,CED-E-MCA,CED-E-MOCP,MCA_CED,MOCP_CED
4918050,Mechanical Equipment,12',CED-R-Hussmann ID5SL,394.02175430583014,191.75096832574872,100.00000000000077,,,,
4918099,Mechanical Equipment,12',CED-R-Hussmann ID5SL,394.02175430583009,179.71971832574877,100.00000000000077,,,,
4918144,Mechanical Equipment,12',CED-R-Hussmann ID5SL,394.02175430583003,167.68846832574874,100.00000000000077,,,,
4918250,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,199.88698487349262,110.91059794082894,100.00000000000077,,,,
4918253,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,216.84441769181058,110.91977359044034,100.00000000000077,,,,
4918256,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,233.96455274661608,110.92937442880611,100.00000000000077,,,,
4918262,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,199.886378358043,49.916545632690791,100.00000000000077,,,,
4918265,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,216.84756019739194,49.909451599379324,100.00000000000077,,,,
4918268,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,233.96882800371679,49.907170569209434,100.00000000000077,,,,
4918274,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,202.21054454212128,58.657380168714177,100.00000000000077,,,,
4918304,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,202.22184752945805,71.438630168714056,100.00000000000077,,,,
4918382,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,202.21054454212134,84.219880168714056,100.00000000000077,,,,
4918439,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,202.21054454212137,97.001130168714056,100.00000000000077,,,,
