Count,Name,Position X,Position Y,Position Z,Rotation,#,#(1),#(2),CSV_CLEANED
1,Room Name 105C ROOM ADA CHANGING,"-1351'-11 1/8""","120'-8 3/8""","0'-0""",0.00,105C,ROOM,ADA CHANGING,true
1,Room Name 105E ROOM TOILET,"-1334'-2 1/16""","121'-1 1/2""","0'-0""",0.00,105E,ROOM,TOILET,true
1,Room Name 105F SHOWER TOILET/,"-1334'-2 1/16""","104'-2 7/16""","0'-0""",0.00,105F,SHOWER,TOILET/,true
1,F1,"-1091'-4 7/16""","38'-3 7/8""","0'-0""",0.00,,,,true
1,Room Name 109 STRENGTH,"-1455'-2 1/16""","147'-2 7/16""","0'-0""",0.00,109,STRENGTH,,true
1,Room Name 110 WEIGHTS FREE,"-1447'-9 3/16""","72'-10 5/8""","0'-0""",0.00,110,WEIGHTS,FREE,true
1,Room Name 101 RECEPTION,"-1409'-4 3/4""","71'-9 9/16""","0'-0""",0.00,101,RECEPTION,,true
1,Room Name 102 CHECK-IN,"-1400'-1 7/8""","60'-7 1/2""","0'-0""",0.00,102,CHECK-IN,,true
1,Room Name 100 VESTIBULE,"-1431'-8 5/8""","56'-3 5/16""","0'-0""",0.00,100,VESTIBULE,,true
1,Room Name 103 SPA BLACK CARD,"-1383'-2 7/8""","73'-0 5/8""","0'-0""",0.00,103,SPA,BLACK CARD,true
1,Room Name 101C IT ROOM,"-1344'-1 7/8""","73'-6 3/16""","0'-0""",0.00,101C,IT ROOM,,true
1,Room Name 101A BEAK ROOM EMPLOYEE,"-1366'-6 11/16""","76'-11 3/16""","0'-0""",0.00,101A,BEAK ROOM,EMPLOYEE,true
1,Room Name 103A HYDROMASSAGE,"-1376'-3 3/8""","58'-8 5/16""","0'-0""",0.00,103A,HYDROMASSAGE,,true
1,Room Name 108 CIRCUIT,"-1430'-9 7/16""","115'-11 7/8""","0'-0""",0.00,108,CIRCUIT,,true
1,Room Name 103E ROOM FUTURE AMENITY,"-1333'-10 1/2""","64'-0 11/16""","0'-0""",0.00,103E,ROOM,FUTURE AMENITY,true
1,Room Name 103D TANNING,"-1342'-3 3/16""","56'-8 1/4""","0'-0""",0.00,103D,TANNING,,true
1,Room Name 103C HYBRID,"-1351'-5 3/4""","56'-10 7/16""","0'-0""",0.00,103C,HYBRID,,true
1,Room Name 104A ROOM CHANGING,"-1358'-2 1/4""","78'-10 9/16""","0'-0""",0.00,104A,ROOM,CHANGING,true
1,Room Name 104 WOMEN'S CORRIDOR,"-1350'-8 9/16""","88'-0 13/16""","0'-0""",0.00,104,WOMEN'S CORRIDOR,,true
1,Room Name 104C TOILET ADA,"-1344'-1 3/8""","79'-3 11/16""","0'-0""",0.00,104C,TOILET,ADA,true
1,Room Name 106 MOBILITY ROOM FUNCTION TRAINING/,"-1364'-0 1/2""","158'-5 5/16""","0'-0""",0.00,106,MOBILITY ROOM,FUNCTION TRAINING/,true
1,Room Name 107 CARDIO,"-1398'-7 1/16""","117'-1 3/16""","0'-0""",0.00,107,CARDIO,,true
1,Room Name 103B TANNING,"-1359'-2 15/16""","56'-7 11/16""","0'-0""",0.00,103B,TANNING,,true
1,Room Name 105B ROOM CHANGING,"-1358'-1 13/16""","120'-8 3/8""","0'-0""",0.00,105B,ROOM,CHANGING,true
1,Swing-90,"-1360'-3 1/2""","71'-7 1/8""","0'-0""",270.00,,,,true
1,HOOK,"-1366'-7 5/16""","106'-11 1/16""","0'-0""",180.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","131'-5 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","145'-1 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","148'-6 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","141'-8 7/8""","0'-0""",0.00,,,,true
1,Starline JBox,"-1417'-9 1/8""","119'-5 5/8""","0'-0""",90.00,,,,true
1,10' length,"-1417'-9 1/8""","108'-5 5/16""","0'-0""",90.00,,,,true
1,Starline JBox,"-1417'-9 1/8""","113'-11 5/16""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","138'-3 7/8""","0'-0""",0.00,,,,true
1,HM5A,"-1414'-7 5/8""","109'-10 1/16""","0'-0""",0.00,,,,true
1,HM5A,"-1414'-7 5/8""","103'-0 1/16""","0'-0""",0.00,,,,true
1,SciFit Up. (PRO1033-PF-4P1L-PF),"-1424'-10 9/16""","99'-7 3/16""","0'-0""",0.00,,,,true
1,SciFit Rec. (SONE04-PF-4P1L-PF),"-1425'-2 3/8""","103'-0 3/16""","0'-0""",0.00,,,,true
1,Bike Up. (U5X-5PL-PF),"-1426'-0 7/16""","134'-10 7/8""","0'-0""",90.00,,,,true
1,Bike Up. (U5X-5PL-PF),"-1426'-0 7/16""","138'-3 7/8""","0'-0""",90.00,,,,true
1,Bike Rec. (R5X-5PL-PF),"-1425'-8 1/2""","124'-7 7/8""","0'-0""",90.00,,,,true
1,Bike Rec. (R5X-5PL-PF),"-1425'-8 1/2""","128'-0 7/8""","0'-0""",90.00,,,,true
1,HM5A,"-1414'-7 5/8""","106'-5 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","113'-3 1/16""","0'-0""",0.00,,,,true
1,10' length,"-1405'-11 13/16""","124'-11 5/8""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","121'-2 7/8""","0'-0""",0.00,,,,true
1,5' LENGTH,"-1393'-6 13/16""","91'-11 5/16""","0'-0""",90.00,,,,true
1,Starline JBox,"-1393'-6 7/8""","88'-11 5/16""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","109'-10 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","106'-5 1/16""","0'-0""",0.00,,,,true
1,10' length,"-1405'-11 13/16""","108'-5 5/16""","0'-0""",90.00,,,,true
1,10' length,"-1405'-11 13/16""","98'-5 5/16""","0'-0""",90.00,,,,true
1,5' LENGTH,"-1405'-11 13/16""","90'-11 5/16""","0'-0""",90.00,,,,true
1,10' length,"-1405'-11 13/16""","134'-11 5/8""","0'-0""",90.00,,,,true
1,Starline JBox,"-1405'-11 7/8""","113'-11 5/16""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","96'-2 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","103'-0 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","89'-4 1/16""","0'-0""",0.00,,,,true
1,10' length,"-1405'-11 13/16""","144'-11 5/8""","0'-0""",90.00,,,,true
1,Starline JBox,"-1405'-11 7/8""","119'-5 5/8""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","124'-7 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","128'-0 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","99'-7 1/16""","0'-0""",0.00,,,,true
